tab:cyan - (epsilon=0.1, avg_pckt=800, tot_time_avg_pckt=600)
tab:blue - (epsilon=0.1, avg_pckt=800, tot_time_avg_pckt=800)
tab:orange - (epsilon=0.1, avg_pckt=800, tot_time_avg_pckt=1000)
tab:green - (epsilon=0.1, avg_pckt=800, tot_time_avg_pckt=1200)
tab:red - (epsilon=0.02, avg_pckt=400, tot_time_avg_pckt=600)
tab:purple - (epsilon=0.02, avg_pckt=500, tot_time_avg_pckt=600)
tab:brown - (epsilon=0.02, avg_pckt=800, tot_time_avg_pckt=600)
tab:pink - (epsilon=0.32, avg_pckt=800, tot_time_avg_pckt=600)
tab:grey - (epsilon=0.32, avg_pckt=800, tot_time_avg_pckt=800)
tab:olive - (epsilon=0.32, avg_pckt=800, tot_time_avg_pckt=1000)
tab:cyan - (epsilon=0.32, avg_pckt=800, tot_time_avg_pckt=1200)
tab:blue - (epsilon=0.32, avg_pckt=400, tot_time_avg_pckt=600)
tab:orange - (epsilon=0.32, avg_pckt=400, tot_time_avg_pckt=800)
tab:green - (epsilon=0.32, avg_pckt=400, tot_time_avg_pckt=1200)
tab:red - (epsilon=0.32, avg_pckt=500, tot_time_avg_pckt=600)
tab:purple - (epsilon=0.32, avg_pckt=500, tot_time_avg_pckt=800)
tab:brown - (epsilon=0.32, avg_pckt=500, tot_time_avg_pckt=1200)
tab:pink - (epsilon=0.32, avg_pckt=600, tot_time_avg_pckt=600)
tab:grey - (epsilon=0.32, avg_pckt=600, tot_time_avg_pckt=800)
tab:olive - (epsilon=0.32, avg_pckt=600, tot_time_avg_pckt=1200)
tab:cyan - (epsilon=0.62, avg_pckt=800, tot_time_avg_pckt=800)
tab:blue - (epsilon=0.62, avg_pckt=800, tot_time_avg_pckt=1000)
tab:orange - (epsilon=0.62, avg_pckt=800, tot_time_avg_pckt=1200)
tab:green - (epsilon=0.8, avg_pckt=800, tot_time_avg_pckt=600)
tab:red - (epsilon=0.8, avg_pckt=800, tot_time_avg_pckt=800)
tab:purple - (epsilon=0.8, avg_pckt=800, tot_time_avg_pckt=1000)
tab:brown - (epsilon=0.8, avg_pckt=800, tot_time_avg_pckt=1200)
tab:pink - (epsilon=0.62, avg_pckt=400, tot_time_avg_pckt=600)
tab:grey - (epsilon=0.62, avg_pckt=500, tot_time_avg_pckt=600)
tab:olive - (epsilon=0.62, avg_pckt=600, tot_time_avg_pckt=600)
tab:cyan - (epsilon=0.8, avg_pckt=400, tot_time_avg_pckt=600)
tab:blue - (epsilon=0.8, avg_pckt=500, tot_time_avg_pckt=600)
tab:orange - (epsilon=0.8, avg_pckt=600, tot_time_avg_pckt=600)
{'2': (2395.618, ('0.01', '800', '1000')), '5': (2258.924, ('0.01', '400', '1000')), '10': (1889.4779999999998, ('0.01', '400', '800')), '20': (1481.37, ('0.01', '500', '600')), '30': (1070.698, ('0.02', '500', '800')), '40': (1012.86, ('0.02', '600', '1000'))}
